es_0,"$0 "
es_1,Usado
es_2,Usado
es_3,Sí
es_4,Vacío
es_5,NULL
es_6,NULL
es_7,NULL
es_8,NULL
es_9,NULL
es_10,NULL
es_11,NULL
es_12,NULL
es_13,NULL
es_14,NULL
es_15,NULL
es_16,NULL
es_17,NULL
es_18,NULL
es_19,NULL
es_20,NULL
es_21,NULL
es_22,NULL
es_23,NULL
es_24,NULL
es_25,NULL
es_26,NULL
es_27,NULL
es_28,NULL
es_29,NULL
es_30,NULL
es_31,NULL
es_32,NULL
es_33,NULL
es_34,NULL
es_35,NULL
es_36,NULL
es_37,NULL
es_38,NULL
es_39,NULL
es_40,NULL
es_41,NULL
es_42,NULL
es_43,NULL
es_44,NULL
es_45,NULL
es_46,NULL
es_47,NULL
es_48,NULL
es_49,NULL
es_50,NULL
es_51,NULL
es_52,NULL
es_53,NULL
es_54,NULL
es_55,NULL
es_56,NULL
es_57,NULL
es_58,NULL
es_59,NULL
es_60,NULL
es_61,NULL
es_62,NULL
es_63,NULL
es_64,NULL
es_65,NULL
es_66,NULL
es_67,NULL
es_68,NULL
es_69,NULL
es_70,NULL
es_71,NULL
es_72,NULL
es_73,NULL
es_74,NULL
es_75,NULL
es_76,NULL
es_77,NULL
es_78,NULL
es_79,NULL
es_80,NULL
es_81,NULL
es_82,NULL
es_83,NULL
es_84,NULL
es_85,NULL
es_86,NULL
es_87,NULL
es_88,NULL
es_89,NULL
es_90,NULL
es_91,NULL
es_92,NULL
es_93,NULL
es_94,NULL
es_95,NULL
es_96,NULL
es_97,NULL
es_98,NULL
es_99,NULL
es_100,NULL
es_101,Trasgo
es_102,Orco
es_103,Ladrón trasgo
es_104,"Hombre lobo"
es_105,Duende
es_106,Enano
es_107,Moco
es_108,Zombi
es_109,"Globo ocular"
es_110,Gnoll
es_111,"Guerrero enano"
es_112,Esqueleto
es_113,"Soldado hormiga"
es_114,"Arquero esqueleto"
es_115,"Gólem de piedra"
es_116,"Esqueleto hachero"
es_117,"Esqueleto lancero"
es_118,"Ella Laraña"
es_119,Espantajo
es_120,"Hombre lagarto"
es_121,Osobúho
es_122,Troglodita
es_123,Necrófago
es_124,Belladona
es_125,Licántropo
es_126,Ungoliant
es_127,Doble
es_128,"Hormiga gigante"
es_129,Necrófago
es_130,"Mago anciano"
es_131,Espantajo
es_132,Cerbero
es_133,Esqueleto
es_134,Arpía
es_135,Ogro
es_136,Troll
es_137,Grifo
es_138,Observador
es_139,Cocatriz
es_140,Yetun
es_141,Cocatriz
es_142,Súcubo
es_143,Cíclope
es_144,"Reina Súcuba"
es_145,Nigromante
es_146,Skuld
es_147,Sauroniano
es_148,Endor
es_149,Svipdag
es_150,Draco
es_151,"Anciano oscuro"
es_152,Bafomet
es_153,Beleth
es_154,Bran
es_155,"Caballero de la muerte"
es_156,"Reina hormiga"
es_157,Scatha
es_158,Joanna
es_159,Alfred
es_160,Inka
es_161,Bertrand
es_162,Olga
es_163,Boyce
es_164,Brooks
es_165,Cyril
es_166,Zeke
es_167,Cordelia
es_168,Chad
es_169,Cassandra
es_170,Carina
es_171,Perro
es_172,Caballo
es_173,"Taylor[Tienda de pociones]"
es_174,Justina
es_175,Leah
es_176,Fraile
es_177,NULL
es_178,Vaca
es_179,"Luchador orco"
es_180,NULL
es_181,NULL
es_182,NULL
es_183,NULL
es_184,NULL
es_185,NULL
es_186,"Thri Keen"
es_187,"Arquero orco"
es_188,"Chamán orco"
es_189,"Bruto orco"
es_190,"Guardia orco"
es_191,"Ballesta orca"
es_192,"Zombi orco"
es_193,"Mago orco"
es_194,Drow
es_195,Lolth
es_196,"Esqueleto de élite"
es_197,Cora
es_198,"Arquero esqueleto de élite"
es_199,Fausto
es_200,"Hachero esqueleto de élite"
es_201,"Mago esqueleto de élite"
es_202,Doris
es_203,Damon
es_204,"Gullveig [Libro de hechizos]"
es_205,Galen
es_206,Espantapájaros
es_207,"Lancero esqueleto de élite"
es_208,Kirsten
es_209,Kell
es_210,"Mago Esqueleto"
es_211,Gallina
es_212,Laura
es_213,Naomi
es_214,Nairobi
es_215,Marla
es_216,Pato
es_217,Marcia
es_218,Ganso
es_219,Nedra
es_220,Cerdo
es_221,Tolomeo
es_222,Conejo
es_223,"Pascal[Tienda de armas]"
es_224,"Rhoda[Tienda de armaduras]"
es_225,"Somalí[Tienda de objetos]"
es_226,Ramla
es_227,Carnero
es_228,"Rabia[Tienda de armaduras]"
es_229,Oveja
es_230,"Somalí[Tienda de objetos]"
es_231,Sadie
es_232,Thurston
es_233,Themis
es_234,Uta
es_235,Upton
es_236,"Barquero del puerto de la Isla Prometida"
es_237,Merlin
es_238,Natalia
es_239,Soldado
es_240,NULL
es_241,NULL
es_242,Elbereth
es_243,NULL
es_244,NULL
es_245,NULL
es_246,"Arpía debilitada"
es_247,NULL
es_248,"Hombre lobo debilitado"
es_249,Andrew
es_250,Grazob
es_251,NULL
es_252,Karguk[Almacén]
es_253,"Piggu[Tienda de armas]"
es_254,"Agrob[Tienda de armaduras]"
es_255,"Lazgar[Tienda de objetos]"
es_256,Lana
es_257,Laucian
es_258,Owen
es_259,"Escorpión debilitado"
es_260,NULL
es_261,NULL
es_262,NULL
es_263,"Osobúho debilitado"
es_264,Shadbak
es_265,"Duende debilitado"
es_266,NULL
es_267,"Troglodita debilitado"
es_268,NULL
es_269,NULL
es_270,NULL
es_271,NULL
es_272,"Thri Kreen debilitado"
es_273,NULL
es_274,NULL
es_275,NULL
es_276,NULL
es_277,NULL
es_278,NULL
es_279,NULL
es_280,NULL
es_281,Edith
es_282,Gus
es_283,Percy
es_284,Gwen
es_285,Hoover
es_286,Irvin
es_287,Inez
es_288,"Dura[Tienda de pociones]"
es_289,Lum
es_290,Yatur
es_291,NULL
es_292,NULL
es_293,NULL
es_294,"Ungoliant debilitado"
es_295,NULL
es_296,NULL
es_297,NULL
es_298,NULL
es_299,NULL
es_300,NULL
es_301,NULL
es_302,"Hermes[Mazmorra de la isla prometida]"
es_303,"Brooks[Tienda de armas]"
es_304,Barquero
es_305,"Justina[Tienda de objetos]"
es_306,"Leah[Tienda de armaduras]"
es_307,Andrew[Almacén]
es_308,"Tolomeo[Especialista en huesos]"
es_309,Doris[Costurero]
es_310,"Zese[Teletransporte de la Isla del Cielo]"
es_311,Gary
es_312,Olivia
es_313,Carlos
es_314,Vicky
es_315,Ambrose
es_316,Brandon
es_317,Rufus
es_318,Falice
es_319,Nelson
es_320,Elsa
es_321,Gia
es_322,Camilla
es_323,Lorelei
es_324,Lohan
es_325,Cal
es_326,Sala
es_327,Wesley
es_328,Gaqe
es_329,Loretta
es_330,Brian
es_331,Nanette
es_332,Calder
es_333,Portia
es_334,Rance
es_335,Karl
es_336,David
es_337,Maris
es_338,Jill
es_339,Hosea
es_340,Gareth
es_341,Shiloh
es_342,Camellia
es_343,Craiq
es_344,Lennon
es_345,Pheadra
es_346,"Garth[Teletransporte de Edin]"
es_347,Bettina
es_348,Aaron
es_349,Martin
es_350,Karol[Almacén]
es_351,Lia
es_352,Valanthe
es_353,Heian
es_354,Antinua
es_355,NULL
es_356,NULL
es_357,Enialis
es_358,Hermes
es_359,"Hormiga roja"
es_360,Rick
es_361,"Hormiga de fuego"
es_362,Termita
es_363,NULL
es_364,Lémur
es_365,"Panda rojo"
es_366,Atub
es_367,Urim
es_368,"Bumph[Tienda de pociones]"
es_369,"Yotul[Tienda de objetos]"
es_370,"Mogak[Tienda de armaduras]"
es_371,Slog
es_372,Epkagut[Almacén]
es_373,"Jogug[Tienda de armas]"
es_374,Bashuk
es_375,Bor
es_376,Omugug
es_377,Supgugh
es_378,Panda
es_379,Oso
es_380,Armadillo
es_381,"Guardia de Cassandra"
es_382,Aventurero
es_383,Felix
es_384,Patch
es_385,Maestro
es_386,Fuerza
es_387,Teletransporte
es_388,Pangolín
es_389,Warren
es_390,Gordon
es_391,Erik
es_392,Dellas
es_393,Cazador
es_394,Gato
es_395,"Tyson[Especialista en huesos]"
es_396,Príncipe
es_397,Caballero
es_398,Magia
es_399,Elfo
es_400,Princesa
es_401,Caballero
es_402,Magia
es_403,Elfo
es_404,Legal
es_405,Caótico
es_406,Neutral
es_407,NULL
es_408,NULL
es_409,NULL
es_410,NULL
es_411,NULL
es_412,NULL
es_413,NULL
es_414,NULL
es_415,NULL
es_416,NULL
es_417,NULL
es_418,NULL
es_419,NULL
es_420,NULL
es_421,NULL
es_422,NULL
es_423,NULL
es_424,NULL
es_425,NULL
es_426,NULL
