cn_0,一刀两断的,卫维恩
cn_1,一心一意的,卫斯理
cn_2,一气呵成的,大卫
cn_3,一丝不苟的,山姆
cn_4,一团和气的,山迪
cn_5,一言为定的,门罗
cn_6,一身正气的,马丁
cn_7,一往无前的,马文
cn_8,一表人才的,马卡斯
cn_9,一视同仁的,马休
cn_10,一诺千金的,马伦
cn_11,一清二白的,马西
cn_12,一腔热情的,马丽娜
cn_13,一谦四益的,马克
cn_14,一蹶不振的,马克斯
cn_15,七手八脚的,马库斯
cn_16,七彩的,马里恩
cn_17,七嘴八舌的,马里奥
cn_18,人山人海的,马杰里
cn_19,人多势众的,马科斯
cn_20,人定胜天的,马修
cn_21,人面兽心的,马特
cn_22,人面善心的,马勒第兹
cn_23,八面威风的,马歇尔
cn_24,刀快水滚的,马德琳
cn_25,刁钻古怪的,丹尼
cn_26,力挽狂澜的,丹尼丝
cn_27,十年寒窗的,丹尼尔
cn_28,十指连心的,丹尼斯
cn_29,万人空巷的,内丽
cn_30,万众一心的,切尔西
cn_31,万劫不辞的,切莉
cn_32,万念俱灰的,尤兰达
cn_33,三弯九转的,尤尔
cn_34,三思而行的,尤朵拉
cn_35,义无反顾的,尤利塞斯
cn_36,于心不忍的,尤杜拉
cn_37,亡羊补牢的,尤里西斯
cn_38,千娇百媚的,尤妮丝
cn_39,口出不逊的,尤金
cn_40,口是心非的,尤莱亚
cn_41,口若悬河的,尤菲米娅
cn_42,土黄的,巴尔克
cn_43,大刀阔斧的,巴伦
cn_44,大义灭亲的,巴克
cn_45,大义凛然的,巴里
cn_46,大大的,巴里特
cn_47,大公无私的,巴奈特
cn_48,大方的,巴泽尔
cn_49,大发慈悲的,巴罗
cn_50,大巧若拙的,巴特
cn_51,大步流星的,巴特勒
cn_52,大胆泼辣的,巴顿
cn_53,大胆的,巴萨罗穆
cn_54,大智大勇的,巴德
cn_55,大智若愚的,戈登
cn_56,大摇大摆的,扎克
cn_57,大腹便便的,扎克利
cn_58,子虚乌有的,文森
cn_59,寸草不留的,文森特
cn_60,小小的,比尔
cn_61,小心谨慎的,比利
cn_62,小心翼翼的,比其尔
cn_63,山眉水眼的,比阿特丽斯
cn_64,干净的,牛顿
cn_65,干净的,贝丝
cn_66,干脆利索的,贝尔
cn_67,干脆利落的,贝亚特
cn_68,才华出众的,贝克
cn_69,才华横溢的,贝拉
cn_70,才思敏捷的,贝芙丽
cn_71,才高八斗的,贝洛克
cn_72,门庭若市的,贝基
cn_73,飞扬跋扈的,贝斯
cn_74,飞舞的,贝琪
cn_75,飞檐走壁的,贝琳达
cn_76,马到成功的,贝蒂
cn_77,不为瓦全的,韦尔伯
cn_78,不仁不义的,韦伯斯特
cn_79,不吝指教的,韦纳尔
cn_80,不忘沟壑的,韦勃
cn_81,不学无术的,韦恩
cn_82,不屈不挠的,丘奇
cn_83,不败的,丝柏凌
cn_84,不骄不躁的,丝特拉
cn_85,不耻下问的,丝特芬妮
cn_86,不敢告劳的,丝特勒
cn_87,不欺暗室的,丝塔茜
cn_88,与人为善的,仙蒂
cn_89,专心致志的,以利亚
cn_90,专注的,以赛亚
cn_91,专横跋扈的,以撒
cn_92,丹心的,兰迪
cn_93,为人耿直的,兰斯
cn_94,为非作歹的,兰德尔
cn_95,为富不仁的,冉斯登
cn_96,乌黑黑的,加文
cn_97,互相支持的,加比
cn_98,互相体谅的,加尔
cn_99,五彩的,加布力尔
cn_100,仁至义尽的,加百利
cn_101,仁慈善良的,加西亚
cn_102,从谏如流的,加里
cn_103,从善如流的,加斯克尔
cn_104,公正的,加菲尔德
cn_105,凶凶的,卡门
cn_106,凶相毕露的,卡尔
cn_107,凶恶暴躁的,卡尔文
cn_108,凶神恶煞的,卡米尔
cn_109,凶煞煞的,卡玛
cn_110,办事仔细的,卡拉
cn_111,化险为夷的,卡洛儿
cn_112,友好的,卡洛斯
cn_113,双瞳剪水的,卡洛琳
cn_114,天生丽质的,卡珊多拉
cn_115,天穹的,卡特
cn_116,天苍的,卡特里娜
cn_117,天青的,卡特琳
cn_118,天真无邪的,卡梅伦
cn_119,天真的,卡斯帕
cn_120,天真活泼的,卡萝
cn_121,天真烂漫的,卡瑞达
cn_122,天蓝的,卡瑞娜
cn_123,幻想的,卡蜜拉
cn_124,开心见诚的,卢
