ru_0,"$0 "
ru_1,Понош.
ru_2,Понош.
ru_3,Вкл.
ru_4,Пусто
ru_5,NULL
ru_6,NULL
ru_7,NULL
ru_8,NULL
ru_9,NULL
ru_10,NULL
ru_11,NULL
ru_12,NULL
ru_13,NULL
ru_14,NULL
ru_15,NULL
ru_16,NULL
ru_17,NULL
ru_18,NULL
ru_19,NULL
ru_20,NULL
ru_21,NULL
ru_22,NULL
ru_23,NULL
ru_24,NULL
ru_25,NULL
ru_26,NULL
ru_27,NULL
ru_28,NULL
ru_29,NULL
ru_30,NULL
ru_31,NULL
ru_32,NULL
ru_33,NULL
ru_34,NULL
ru_35,NULL
ru_36,NULL
ru_37,NULL
ru_38,NULL
ru_39,NULL
ru_40,NULL
ru_41,NULL
ru_42,NULL
ru_43,NULL
ru_44,NULL
ru_45,NULL
ru_46,NULL
ru_47,NULL
ru_48,NULL
ru_49,NULL
ru_50,NULL
ru_51,NULL
ru_52,NULL
ru_53,NULL
ru_54,NULL
ru_55,NULL
ru_56,NULL
ru_57,NULL
ru_58,NULL
ru_59,NULL
ru_60,NULL
ru_61,NULL
ru_62,NULL
ru_63,NULL
ru_64,NULL
ru_65,NULL
ru_66,NULL
ru_67,NULL
ru_68,NULL
ru_69,NULL
ru_70,NULL
ru_71,NULL
ru_72,NULL
ru_73,NULL
ru_74,NULL
ru_75,NULL
ru_76,NULL
ru_77,NULL
ru_78,NULL
ru_79,NULL
ru_80,NULL
ru_81,NULL
ru_82,NULL
ru_83,NULL
ru_84,NULL
ru_85,NULL
ru_86,NULL
ru_87,NULL
ru_88,NULL
ru_89,NULL
ru_90,NULL
ru_91,NULL
ru_92,NULL
ru_93,NULL
ru_94,NULL
ru_95,NULL
ru_96,NULL
ru_97,NULL
ru_98,NULL
ru_99,NULL
ru_100,NULL
ru_101,Гоблин
ru_102,Орк
ru_103,Гоблин вор
ru_104,Оборотень
ru_105,Имп
ru_106,Гном
ru_107,Слизь
ru_108,Зомби
ru_109,"Плавучий глаз"
ru_110,Гнолл
ru_111,"Гном воин"
ru_112,Скелет
ru_113,"Муравей солдат"
ru_114,"Скелет лучник"
ru_115,"Каменный голем"
ru_116,"Скелет с топором"
ru_117,"Скелет с копьем"
ru_118,Шелоб
ru_119,Хобгоблин
ru_120,Ящеролюд
ru_121,Совомедведь
ru_122,Троглодит
ru_123,Гуль
ru_124,"Ночная тень"
ru_125,Ликантроп
ru_126,Унголиант
ru_127,Доппельгангер
ru_128,"Огромный муравей"
ru_129,Гаст
ru_130,"Старший маг"
ru_131,Багбер
ru_132,Цербер
ru_133,Скелет
ru_134,Гарпия
ru_135,Огр
ru_136,Тролль
ru_137,Грифон
ru_138,Злобоглаз
ru_139,Кокатрис
ru_140,Эттин
ru_141,Кокатрис
ru_142,Суккуб
ru_143,Циклоп
ru_144,"Королева суккубов"
ru_145,Некромант
ru_146,Скальд
ru_147,Сауронер
ru_148,Эндор
ru_149,Свипдаг
ru_150,Дрейк
ru_151,"Темный старейшина"
ru_152,Бафомет
ru_153,Белет
ru_154,Бран
ru_155,"Рыцарь смерти"
ru_156,"Королева муравьев"
ru_157,Ската
ru_158,Джоанна
ru_159,Альфред
ru_160,Инка
ru_161,Бертранд
ru_162,Ольга
ru_163,Бойс
ru_164,Брукс
ru_165,Кирилл[полиморф]
ru_166,Зик
ru_167,Корделия
ru_168,Чад
ru_169,Кассандра
ru_170,Карина
ru_171,Пес
ru_172,Конь
ru_173,"Тейлор[Магазин зелий]"
ru_174,Джастина
ru_175,Лея
ru_176,Чернец
ru_177,NULL
ru_178,Корова
ru_179,"Орк боец"
ru_180,NULL
ru_181,NULL
ru_182,NULL
ru_183,NULL
ru_184,NULL
ru_185,NULL
ru_186,Три-крин
ru_187,"Орк лучник"
ru_188,"Орк шаман"
ru_189,"Орк пехотинец"
ru_190,"Орк стражник"
ru_191,"Орк арбалетчик"
ru_192,"Орк зомби"
ru_193,"Орк маг"
ru_194,Дроу
ru_195,Лолт
ru_196,"Элитный скелет"
ru_197,Кора
ru_198,"Элитный скелет лучник"
ru_199,Фауст
ru_200,"Элитный скелет с топором"
ru_201,"Элитный скелет маг"
ru_202,Дорис
ru_203,Деймон
ru_204,"Гулльвейг [Книга заклинаний]"
ru_205,Гален
ru_206,Пугало
